####Religion####
modernist;Modernist;;;;;;;;;;;;;x
modernist_DESC;Modernists believe that the world is permiated by a mystical essence called Innovation, by interacting with this force the man of old were able to reshape their cosmos. The Great Masters told of how to properly interact with such forces but deviation from their ways destroyed the world capicty to control Innovation, and the force unbound destroyed the universe. Only through following correctly the Old Masters we may once again reshape the universe into its proper shape.;;;;;;;;;;;;;x
###########Piety Localization###########
STAT_PIETY_INNOVATION;Innovation;;;;;;;;;;;;;x
STAT_PIETY_MENU_INNOVATION;Innovation;;;;;;;;;;;;;x
STAT_PIETY_DESC_INNOVATION;Innovation is respected by the clergy and especially the head of your Religion. It can be spent to petition the head of your Religion. Like Prestige, it is added to your score on the death of a ruler.;;;;;;;;;;;;;x
####Religion Flavor####
EXPOSITOR;Expositor;;;;;;;;;;;;;x
GOD_OLD_MASTERS;Old Masters;;;;;;;;;;;;;x
GOD_NONADA;Nonada;;;;;;;;;;;;;x
GOD_MESTRE_ROSAS;Mestre Rosas;;;;;;;;;;;;;x
GOD_MESTRE_LISPECTOR;Mestre Lispector;;;;;;;;;;;;;x
GOD_MESTRE_COELHO;Mestre Coelho;;;;;;;;;;;;;x
GOD_MESTRE_MALFATTI;Mestre Malfatti;;;;;;;;;;;;;x
GOD_MESTRE_OSWALDO;Mestre Oswaldo;;;;;;;;;;;;;x
GOD_MESTRE_TARSILA;Mestre Tarsila;;;;;;;;;;;;;x
GOD_MESTRE_FREIRE;Mestre Freire;;;;;;;;;;;;;x
GOD_MESTRE_RAMOS;Mestre Ramos;;;;;;;;;;;;;x
GOD_MESTRE_AMADO;Mestre Amado;;;;;;;;;;;;;x
GOD_MESTRE_RAUL;Mestre Raul;;;;;;;;;;;;;x
GOD_PARNASUDO;Parnasudo;;;;;;;;;;;;;x
GOD_FRANCESADA;Afrancesada;;;;;;;;;;;;;x
MIMEOGRAPHED_TEXTS;Mimeographed Texts;;;;;;;;;;;;;x
alternativeviews;Alternative Society;;;;;;;;;;;x
alternativeviews_desc;This character follows the path of Master Raul, whose cryptic songs and poems teach us that the human nature can only be comprehended through constant spiritual exploration.;;;;;;;;;;;x
architecturalist;Architecturalist;;;;;;;;;;;x
architecturalist_desc;This character follows the path of the Architecturalists, who believe humanity?s quest for change is revealed through enduring monuments and the study of the masters of the past.;;;;;;;;;;;x
maneater;Antropophagite;;;;;;;;;;;x
